Price,Address,Beds,Baths,Sqft,URL
$344000,5920 Jerry Dr Las Vegas NV 89108,3,2,1249,https://www.redfin.com/NV/Las-Vegas/5920-Jerry-Dr-89108/home/29187107
$315000,5278 Walnut Ave Las Vegas NV 89110,3,2,1196,https://www.redfin.com/NV/Las-Vegas/5278-Walnut-Ave-89110/home/29392146
$362000,2517 Indian Sage Way Las Vegas NV 89108,3,2,1338,https://www.redfin.com/NV/Las-Vegas/2517-Indian-Sage-Way-89108/home/29136238
$300000,3901 Tatiana St Las Vegas NV 89115,3,2,1327,https://www.redfin.com/NV/Las-Vegas/3901-Tatiana-St-89115/home/29357646
$359900,5854 Dana Rogers Dr Las Vegas NV 89110,3,2,1484,https://www.redfin.com/NV/Las-Vegas/5854-Dana-Rogers-Dr-89110/home/29395053
$365900,536 Hall Of Fame Dr Las Vegas NV 89110,3,2,1552,https://www.redfin.com/NV/Las-Vegas/536-Hall-of-Fame-Dr-89110/home/29394355
$292750,8016 Draco Cir #101 Las Vegas NV 89128,3,2,1098,https://www.redfin.com/NV/Las-Vegas/8016-Draco-Cir-89128/unit-101/home/29203827
$350000,4837 Mars Black Ct Las Vegas NV 89131,3,2,1235,https://www.redfin.com/NV/Las-Vegas/4837-Mars-Black-Ct-89131/home/29013210
$325000,4612 Curdsen Way Las Vegas NV 89110,3,2.5,1503,https://www.redfin.com/NV/Las-Vegas/4612-Curdsen-Way-89110/home/29380144
$334000,6253 Fairwood Ave Las Vegas NV 89107,3,2,1180,https://www.redfin.com/NV/Las-Vegas/6253-Fairwood-Ave-89107/home/29230187
$374900,4004 Compass Rose Way Las Vegas NV 89108,3,2,1403,https://www.redfin.com/NV/Las-Vegas/4004-N-Compass-Rose-Way-89108/home/29119668
$369000,4840 Villa Pescara St Las Vegas NV 89147,3,2.5,1458,https://www.redfin.com/NV/Las-Vegas/4840-Villa-Pescara-St-89147/home/29030429
$320000,2412 Shady Hill Ave Las Vegas NV 89106,3,2,1096,https://www.redfin.com/NV/Las-Vegas/2412-Shady-Hill-Ave-89106/home/29309741
$321000,812 Biltmore Dr Las Vegas NV 89101,3,2,1348,https://www.redfin.com/NV/Las-Vegas/812-Biltmore-Dr-89101/home/29337216
$348000,4998 Schumann Dr Las Vegas NV 89146,3,2.5,1929,https://www.redfin.com/NV/Las-Vegas/4998-Schumann-Dr-89146/home/29540264
$327000,1320 Hiawatha Rd Las Vegas NV 89108,3,2,1470,https://www.redfin.com/NV/Las-Vegas/1320-Hiawatha-Rd-89108/home/29189385
$380000,6118 Riflecrest Ave Las Vegas NV 89156,3,2.5,1870,https://www.redfin.com/NV/Las-Vegas/6118-Riflecrest-Ave-89156/home/29826924
$376000,5997 Riflecrest Ave Las Vegas NV 89156,3,2.5,1870,https://www.redfin.com/NV/Las-Vegas/5997-Riflecrest-Ave-89156/home/29862756
$330000,5429 Nickel Creek Trl Las Vegas NV 89122,3,2.5,1362,https://www.redfin.com/NV/Las-Vegas/5429-Nickel-Creek-Trl-89122/home/29315698
$350000,11974 White Lilly St Las Vegas NV 89183,3,2.5,1484,https://www.redfin.com/NV/Las-Vegas/11974-White-Lilly-St-89183/home/29012487
$318000,5701 Whiteridge Ave Las Vegas NV 89107,3,2,1456,https://www.redfin.com/NV/Las-Vegas/5701-Whiteridge-Ave-89107/home/29188338
$349999,3820 Marshall Cir Las Vegas NV 89108,3,2.5,1402,https://www.redfin.com/NV/Las-Vegas/3820-N-Marshall-Cir-89108/home/29129592
$334000,4556 Cedarspring Dr Las Vegas NV 89103,3,2,1185,https://www.redfin.com/NV/Las-Vegas/4556-Cedarspring-Dr-89103/home/29570574
$305000,5118 Billman Ave Las Vegas NV 89122,3,2,1097,https://www.redfin.com/NV/Las-Vegas/5118-Billman-Ave-89122/home/29430294
N/A,N/A,N/A,N/A,N/A,N/A
$359999,3549 Casa Real Way Las Vegas NV 89147,3,2,1209,https://www.redfin.com/NV/Las-Vegas/3549-Casa-Real-Way-89147/home/29551854
$369900,1676 Angel Falls St Las Vegas NV 89142,3,2,1202,https://www.redfin.com/NV/Las-Vegas/1676-Angel-Falls-St-89142/home/29400067
$324500,3937 Herford Ln Las Vegas NV 89110,3,2,1152,https://www.redfin.com/NV/Las-Vegas/3937-Herford-Ln-89110/home/29384592
$299900,6208 Don Gaspar Ave Las Vegas NV 89108,3,2,1306,https://www.redfin.com/NV/Las-Vegas/6208-Don-Gaspar-Ave-89108/home/29173295
$354888,8117 Lilac Harbor Ct Las Vegas NV 89143,3,2,1482,https://www.redfin.com/NV/Las-Vegas/8117-Lilac-Harbor-Ct-89143/home/29088073
$341987,4920 Peaceful Pond Ave Las Vegas NV 89131,3,2,1024,https://www.redfin.com/NV/Las-Vegas/4920-Peaceful-Pond-Ave-89131/home/29890112
